[all run data],[step],renewable-percentage
,0,70.51288988
,1,85.01093671
,2,85.27765845
,3,85.81120947
,4,89.70303456
,5,86.25109204
,6,67.39189349
,7,61.66005341
,8,60.39828962
,9,58.5011688
,10,62.00784696
,11,86.45733271
,12,87.45898925
,13,86.75964024
,14,88.17817281
,15,86.8710705
,16,86.39564785
,17,84.23337015
,18,65.36931339
,19,64.28532706
,20,53.75687057
,21,53.26604151
,22,91.67972186
,23,97.55098744
,24,84.81801991
,25,86.410721
,26,86.55730951
,27,88.00552377
,28,88.33436377
,29,87.39665463
,30,64.36805549
,31,64.55419713
,32,55.81216911
,33,58.42644822
,34,65.62629035
,35,89.69574911
,36,90.88035195
,37,91.48399679
,38,91.15787544
,39,91.52125108
,40,91.54686906
,41,91.80253651
,42,91.60415845
,43,90.96546463
,44,91.14650765
,45,91.5041052
,46,91.81719806
,47,91.84417544
,48,92.57422796
,49,91.96804325
,50,90.04643824
,51,90.478017
,52,89.24932797
,53,88.51325722
,54,70.49423802
,55,66.74467715
,56,64.65305706
,57,62.85196247
,58,65.3073905
,59,89.39056885
,60,90.1062938
,61,90.20485476
,62,89.83620995
,63,90.07750458
,64,90.79856303
,65,91.17610762
,66,91.57912503
,67,90.22306177
,68,81.93310921
,69,81.81208389
,70,89.7009864
,71,89.57424517
,72,90.16369222
,73,90.83598881
,74,90.28969592
,75,90.26103373
,76,90.34387875
,77,90.13505681
,78,69.53062091
,79,70.92211798
,80,71.87828714
,81,68.43986319
,82,70.97014433
,83,89.57274915
,84,89.76995228
,85,87.79461355
,86,86.95578947
,87,86.63236079
,88,85.28773084
,89,85.10691438
,90,75.37443345
,91,71.14967805
,92,68.97684002
,93,71.56190869
,94,88.17721993
,95,89.80684959
,96,91.58747001
,97,88.85192742
,98,87.93396139
,99,89.06441722
,100,86.73700869
